disease,symptoms
Acne,"skin rash, pus filled pimples, blackheads, scarring, pimples, oily skin, inflammation"
Addison Disease,"fatigue, weight loss, muscle weakness"
Aids,"muscle wasting, patches in throat, high fever"
Alcoholic Hepatitis,"vomiting, yellowish skin, abdominal pain, swelling of stomach"
Allergy,"continuous sneezing, shivering, chills, watering from eyes"
Alzheimer Disease,"memory loss, confusion, difficulty speaking, disorientation, mood changes"
Anemia,"fatigue, weakness, pale skin, shortness of breath"
Anxiety,"excessive worry, restlessness, rapid heartbeat, sweating"
Appendicitis,"abdominal pain, nausea, vomiting, fever"
Aplastic Anemia,"frequent infections, pale skin, irregular heartbeat"
Arthritis,"joint pain, stiffness, swelling, morning stiffness, muscle weakness, stiff neck, movement stiffness"
Asthma,"shortness of breath, wheezing, chest tightness, cough"
Bacterial Vaginosis,"fishy odor discharge, itching, burning"
Benign Prostatic Hyperplasia,"nocturia, difficulty starting urination"
Breast Cancer,"breast lump, lymph node swelling, skin changes"
Bronchial Asthma,"fatigue, cough, high fever, breathlessness"
Bronchitis,"cough, mucus, chest discomfort"
Candidiasis,"thick white discharge, itching, soreness"
Cancer,"unexplained weight loss, fatigue, pain, lumps"
Celiac Disease,"diarrhea, bloating, weight loss, fatigue, abdominal pain"
Cellulitis,"swollen lymph nodes, tenderness, red swollen skin"
Cervical Cancer,"painful intercourse, unusual discharge, pelvic pain"
Chicken Pox,"high fever, swelled lymph nodes, red spots over body"
Chikungunya,"joint pain, fever, rash"
Chlamydia,"painful urination, discharge, lower abdominal pain"
Cholera,"watery diarrhea, vomiting, leg cramps, dehydration"
Cirrhosis,"fatigue, jaundice, swelling, easy bruising"
Common Cold,"runny nose, sneezing, sore throat, cough"
Constipation,"hard stools, bloating, abdominal discomfort"
COPD,"chronic cough, shortness of breath, wheezing, frequent infections"
COVID-19,"fever, cough, loss of taste, breathlessness"
Crohn's Disease,"abdominal pain, diarrhea, weight loss, fatigue"
Dengue,"high fever, joint pain, headache, rash"
Depression,"persistent sadness, loss of interest, fatigue, sleep changes"
Diabetes,"frequent urination, excessive thirst, fatigue, weight loss, irregular sugar level, blurred vision, increased appetite"
Diarrhea,"loose stools, dehydration, abdominal cramps"
Diverticulitis,"abdominal pain, fever, nausea, changes in bowel habits"
Eczema,"itching, redness, dry skin, red rash, oozing blisters"
Endometriosis,"pelvic pain, painful periods, pain during sex, infertility"
Epididymitis,"scrotal pain, swelling, fever"
Fabry Disease,"kidney problems, stroke, skin rash"
Fibromyalgia,"widespread pain, fatigue, sleep problems, memory issues"
Gallstones,"upper abdominal pain, nausea, vomiting"
Gastritis,"stomach pain, bloating, nausea, indigestion"
GERD,"heartburn, regurgitation, chest pain, difficulty swallowing"
Gestational Diabetes,"fatigue, frequent urination, nausea"
Glycogen Storage Disease,"muscle weakness, low blood sugar, enlarged liver"
Gonorrhea,"painful urination, discharge, pelvic pain"
Goodpasture Disease,"shortness of breath, coughing blood, fatigue"
Gout,"sudden severe joint pain, redness, swelling, warmth"
Heart Failure,"shortness of breath, fatigue, swelling in legs, rapid heartbeat"
Hemochromatosis,"abdominal pain, skin darkening, fatigue"
Hepatitis,"jaundice, fatigue, nausea, abdominal pain"
Hepatitis A,"fatigue, nausea, abdominal pain, jaundice, loss of appetite, muscle pain"
Hepatitis B,"fatigue, jaundice, dark urine, abdominal pain"
Hepatitis C,"fatigue, jaundice, joint pain, dark urine, yellowing of eyes, loss of appetite, yellowish skin"
Herpes,"painful blisters, itching, flu-like symptoms"
Hiatal Hernia,"heartburn, chest pain, regurgitation"
HPV,"genital warts, abnormal pap smears"
Hydrocele,"scrotal swelling, painless lump"
Hypertension,"headache, dizziness, blurred vision, chest pain, loss of balance, lack of concentration, vision problems"
Hyperthyroidism,"weight loss, anxiety, heat intolerance"
Hypothyroidism,"weight gain, fatigue, cold intolerance"
IgA Nephropathy,"high blood pressure, blood in urine, protein in urine"
Impetigo,"red sores, honey-colored crusts, itching"
Influenza,"fever, muscle pain, fatigue, cough"
Interstitial Cystitis,"sleep disturbance, urinary urgency, pelvic pain"
Irritable Bowel Syndrome,"abdominal pain, bloating, diarrhea or constipation"
Kidney Stones,"severe pain, blood in urine, nausea"
Lupus,"fatigue, joint pain, butterfly rash, fever, hair loss"
Lyme Disease,"erythema migrans rash, fever, fatigue, joint pain"
Malaria,"fever, chills, sweating, headache"
Maple Syrup Urine Disease,"sweet smelling urine, poor feeding, seizures"
Measles,"high fever, cough, runny nose, rash"
Migraine,"severe headache, nausea, sensitivity to light"
Minimal Change Disease,"protein in urine, fatigue, weight gain"
Multiple Sclerosis,"fatigue, numbness, vision problems, muscle weakness, difficulty walking"
Mumps,"swollen salivary glands, fever, headache, muscle aches"
Myelodysplastic Syndromes,"shortness of breath, fatigue, unusual paleness"
Neurogenic Bladder,"incontinence, bladder stones, frequent infections"
Niemann-Pick Disease,"cherry red spots, lung problems, enlarged liver"
Obesity,"excess body fat, joint pain, breathlessness, fatigue"
Osteoarthritis,"joint pain, stiffness, reduced motion, grating sensation, painful walking, knee pain, neck pain"
Osteoporosis,"bone pain, fractures, loss of height, stooped posture"
Overactive Bladder,"frequent urination, urge incontinence, sleep disturbance"
Pancreatitis,"upper abdominal pain, fever, nausea"
Parkinson's Disease,"tremors, stiffness, slow movement, balance issues"
PCOS,"irregular periods, weight gain, acne"
Pelvic Inflammatory Disease,"pelvic pain, fever, painful sex"
Peptic Ulcer,"burning stomach pain, bloating, nausea"
Pneumonia,"chest pain, fever, difficulty breathing"
Polycythemia Vera,"itching, enlarged spleen, dizziness"
Pompe Disease,"muscle weakness, heart problems, breathing problems"
Postpartum Depression,"persistent sadness, anxiety, difficulty bonding"
Preeclampsia,"vision changes, swelling, protein in urine"
Prostatitis,"pelvic pain, painful urination, fever, chills"
Psoriasis,"scaly skin, itching, joint pain"
Rheumatoid Arthritis,"joint pain, stiffness, swelling, fatigue, fever"
Ringworm,"itchy red circular rash, scaling, clear center"
Rubella,"mild fever, rash, swollen lymph nodes, joint pain"
Scabies,"intense itching, rash, burrows in skin"
Shingles,"painful rash, blisters, fever, headache"
Sinusitis,"facial pain, nasal congestion, headache"
Social Anxiety Disorder,"sweating, blushing, nausea, trembling"
Stroke,"sudden numbness, confusion, trouble speaking, severe headache"
Syphilis,"painless sore, rash, fever, swollen lymph nodes"
Tay-Sachs Disease,"hearing loss, vision loss, muscle weakness"
Testicular Torsion,"sudden severe scrotal pain, nausea"
Trichomoniasis,"frothy discharge, itching, painful urination"
Tuberculosis,"persistent cough, weight loss, night sweats"
Typhoid,"prolonged fever, weakness, abdominal pain, belly pain, constipation"
Ulcerative Colitis,"bloody diarrhea, abdominal pain, urgency"
UTI,"burning urination, frequent urination, pelvic pain"
Varicose Veins,"obesity, prominent veins on calf, bruising"
Varicocele,"scrotal swelling, dull ache, fertility issues"
Vertigo Paroxysmal Positional Vertigo,"vomiting, headache, nausea, spinning movements, loss of balance, unsteadiness"
Whooping Cough,"severe coughing fits, vomiting, runny nose"
Wilson Disease,"psychiatric symptoms, kayser fleischer rings, tremor"